,importance,
log_cust_review_mean,0.996865161,
pct_bad_reviews,0.001076459,
has_bad_reviews,0.000940349,
cust_num_bad_reviews,0.000838843,
cust_total_comment_chars,0.000243011,
cust_review_std,3.62E-05,
log_cust_avg_delivery,2.79E-09,
cust_payment_installments_mean_x_cust_avg_price,2.69E-09,
cust_avg_freight,2.06E-09,
cust_avg_carrier_delay,1.93E-09,
cust_avg_price,1.39E-09,
log_cust_total_spent,6.99E-10,
cust_orders_last_3m,1.06E-17,ordenes de los ultimos 3 meses
cust_total_spent_x_cust_avg_delivery,1.06E-17,
cust_monetary_monthly,8.88E-18,gasto mensual
log_cust_total_items,8.80E-18,
cust_recency_days,3.60E-18,dias desde el ultimo pedido
cust_avg_approval_delay,3.58E-18,
cust_unique_sellers,3.55E-18,
cust_total_items,3.55E-18,
cust_num_good_reviews,3.53E-18,
cust_avg_price_x_cust_late_ratio,3.52E-18,
ratio_good_bad_reviews,3.48E-18,
cust_total_spent_x_cust_late_ratio,3.47E-18,
cust_payment_installments_mean,1.64E-20,
cust_payment_methods,1.02E-20,
cust_avg_delivery,5.80E-21,
cust_unique_products,5.00E-21,
cust_orders_last_6m,1.68E-21,ordenes de los ultimos 6 meses
cust_avg_price_x_cust_avg_delivery,1.58E-21,
high_spender_flag,1.11E-21,
cust_orders_last_12m,1.07E-21,ordenes de los ultimos 12 meses
cust_total_spent,0,
cust_total_orders,0,
cust_late_ratio,0,
cust_order_trend,0,
cust_frequency_months,0,
cust_delay_trend,0,
cust_review_trend,0,
