feature,importance
log_cust_review_mean,0.8924937946760318
cust_num_bad_reviews,0.10747390870145108
cust_review_std,3.197252136497325e-05
cust_num_good_reviews,1.611471841911982e-07
ratio_good_bad_reviews,1.5845683673837925e-07
cust_avg_freight_x_cust_avg_delivery,2.264634699764195e-09
cust_avg_freight,2.232495532988522e-09
cust_avg_freight_x_cust_installments_mean,6.903377354759641e-17
cust_recency_days,6.785042535657296e-17
cust_payment_total,6.104029347919426e-17
cust_avg_price_x_cust_installments_mean,5.866659948026858e-17
cust_avg_price,5.049440478271106e-17
cust_avg_price_x_cust_avg_delivery,4.915466134058982e-17
cust_total_spent_x_cust_installments_mean,4.7425888993536043e-17
cust_total_spent,4.3669525811360576e-17
cust_total_spent_x_cust_avg_delivery,4.2158712682765884e-17
log_cust_total_spent,3.945352413924406e-17
cust_monetary_monthly,3.752426206426549e-17
cust_avg_delay,3.509567329429569e-17
cust_avg_hour,2.7176501488963838e-17
cust_avg_freight_x_cust_late_ratio,2.3114072659731155e-17
cust_avg_month,2.173982563139823e-17
cust_avg_delivery,1.898389355069609e-17
log_cust_avg_delivery,1.5169523910752083e-17
cust_late_ratio,1.2536608339469694e-17
cust_avg_weekday,1.2305366691019583e-17
cust_total_spent_x_cust_late_ratio,1.1849872674564387e-17
cust_installments_mean,1.0869316754302836e-17
cust_total_orders,1.0836363689347603e-17
cust_orders_last_6m,1.0307580737016858e-17
cust_orders_last_12m,8.820469018927158e-18
cust_avg_price_x_cust_late_ratio,8.096510822187141e-18
cust_num_products,7.427150678584811e-18
cust_payment_methods,5.889044328415004e-18
cust_orders_last_3m,3.1321767056119612e-18
cust_delay_trend,0.0
cust_review_trend,0.0
cust_order_trend,0.0
cust_frequency_monthly,0.0
